Variable Name;Role;Type;Demographic;Description
age;Feature;Integer;Age;
job;Feature;Categorical;Occupation;type of job (categorical: 'admin.','blue-collar','entrepreneur','housemaid','management','retired','self-employed','services','student','technician','unemployed','unknown')
marital;Feature;Categorical;Marital Status;"marital status (categorical: 'divorced','married','single','unknown'; note: 'divorced' means divorced or widowed)"
education;Feature;Categorical;Education Level;(categorical: 'basic.4y','basic.6y','basic.9y','high.school','illiterate','professional.course','university.degree','unknown')
default;Feature;Binary;;has credit in default?
balance;Feature;Integer;;average yearly balance
housing;Feature;Binary;;has housing loan?
loan;Feature;Binary;;has personal loan?
contact;Feature;Categorical;;contact communication type (categorical: 'cellular','telephone')
day_of_week;Feature;Date;;last contact day of the week
month;Feature;Date;;last contact month of year (categorical: 'jan', 'feb', 'mar', ..., 'nov', 'dec')
duration;Feature;Integer;;last contact duration, in seconds (numeric). Important note: this attribute highly affects the output target (e.g., if duration=0 then y='no'). Yet, the duration is not known before a call is performed. Also, after the end of the call y is obviously known. Thus, this input should only be included for benchmark purposes and should be discarded if the intention is to have a realistic predictive model.
campaign;Feature;Integer;;number of contacts performed during this campaign and for this client (numeric, includes last contact)
pdays;Feature;Integer;;"number of days that passed by after the client was last contacted from a previous campaign (numeric; -1 means client was not previously contacted)"
previous;Feature;Integer;;number of contacts performed before this campaign and for this client
poutcome;Feature;Categorical;;outcome of the previous marketing campaign (categorical: 'failure','nonexistent','success')
y;Target;Binary;;has the client subscribed a term deposit?
